fen,result
r1bq1b1r/p2pk2p/2p1pp2/3n3Q/4N3/8/PPP2PPP/R1B1KB1R w KQ - 2 11,0.5
r1b2rk1/1pp1qppp/2n1p3/p2n4/2pP4/2N2NP1/PPQ1PPBP/R4RK1 w - - 0 11,0.0
r2q1rk1/1bp1bppp/p1n5/1p1np3/8/1B1P1N1P/PPP2PP1/RNBQR1K1 w - - 0 11,0.5
r1bq1rk1/p1p2pp1/5n1p/3p4/1b6/2NB3P/PPP2PP1/R1BQ1RK1 w - - 0 11,1.0
r1bqrbk1/2pp1ppp/p1p2n2/8/3pP3/2P2N2/PP1N1PPP/R1BQR1K1 w - - 0 11,1.0
r1bqr1k1/pppp1pp1/1b3n1p/1B2n3/4P2B/1NN5/PPP2PPP/R2Q1RK1 w - - 4 11,0.0
1r1q1rk1/1p2ppbp/2np1np1/p1p2b2/2P5/P1NPP1PP/1P2NPB1/1RBQK2R w K - 3 11,0.5
r2qkb1r/pp1b1ppp/4p3/3pPn2/3P4/5N2/PPQB1PPP/R3KB1R w KQkq - 1 11,0.0
rn1qkb1r/p4ppp/1pbp1n2/2p5/8/1QN2NP1/PP2PPBP/R1B1K2R w KQkq - 0 11,0.5
r2q1rk1/1bp2pbp/ppnppnp1/8/P2PP3/1BN1BN1P/1PP2PP1/R2Q1RK1 w - - 2 11,0.0
r1br2k1/pp3ppp/2n1pn2/2b5/2B5/1P2PN2/P2N1PPP/R1BR2K1 w - - 1 11,0.5
rn1q1rk1/p4ppp/bp3n2/2pp4/3P4/P1PBP3/4NPPP/R1BQ1RK1 w - - 2 11,0.5
r1bq1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N2PN1/1P4PP/R1BQKB1R w KQ - 1 11,0.5
r2q1rk1/pb2bppp/2n1p3/1ppn4/8/2PP1NP1/PP1N1PBP/R1BQR1K1 w - - 1 11,0.0
r2q1rk1/pp1nppbp/2p2np1/8/2pPP3/2N2BPP/PP3P2/R1BQ1RK1 w - - 1 11,1.0
rnbr2k1/pp3pbp/2p3p1/3Pp3/4P3/5N2/PP2BPPP/R1B1K2R w KQ - 0 11,0.5
r2q1rk1/1bp1bppp/2n2n2/1p1pp3/4P3/1B3N1P/1PPP1PP1/RNBQR1K1 w - - 0 11,0.0
rnbqr1k1/pp3pp1/2p2n1p/3p4/3P1b2/2NBP3/PPQ1NPPP/R3K2R w KQ - 0 11,0.0
r1b2rk1/ppq2ppp/3p1b2/1Bp1p3/P2nP3/2NP1N2/1PP2PPP/R2QR1K1 w - - 0 11,1.0
r1bq1rk1/pp1nppbp/5np1/8/2BN4/2P2N2/PP3PPP/R1BQ1RK1 w - - 5 11,0.0
r2qkbnr/pp1n1pp1/2p1p2p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq - 0 11,0.0
r2q1rk1/bpp3pp/p1nppn2/4p3/P3P3/2PP1N2/1PN2PPP/R1BQ1RK1 w - - 0 11,0.0
r1b1k1nr/pp1n2bp/2pB2p1/4pp2/2P5/2N2NP1/PP2PP1P/R3KB1R w KQ - 4 11,0.5
r1b1qrk1/ppp2pbp/n2p2p1/4n1B1/2P1P3/2N2N2/PP2BPPP/R2Q1RK1 w - - 2 11,0.0
r1bqk2r/pp1n1pb1/2p1p2p/3p2p1/2PP4/2NBPNP1/PP3PP1/R2QK2R w KQkq - 1 11,0.5
r3kbnr/pp3ppp/4p3/3pPb2/3n4/2N2N2/PqP1BPPP/R3QRK1 w kq - 0 11,1.0
rn1qr1k1/1p2nppp/p1pb4/3pNb2/3P4/2NBP1B1/PP3PPP/R2QK2R w KQ - 5 11,0.0
r1b2rk1/pp1pqpp1/2n1p1np/1B6/4P3/2N5/PPP2PPP/R1BQR1K1 w - - 0 11,0.5
rn2kb1r/pp3pp1/1qp1p1p1/3p4/2PPn1P1/1Q2P2P/PP3PB1/RNB1K2R w KQkq - 2 11,0.5
r1bq1rk1/pp2bppp/2n1pn2/8/2BP4/P1N2N2/1P3PPP/R1BQ1RK1 w - - 1 11,1.0
rnbr2k1/ppp1bppp/q3p3/3nN3/2pP1B2/6P1/PPQ1PPBP/RN1R2K1 w - - 8 11,0.0
r2q1rk1/pp2ppbp/2np1np1/1B6/3PP3/2N2b2/PP3PPP/R1BQR1K1 w - - 0 11,0.0
r2qk2r/p1pb1ppp/2p5/2bpP1n1/3N4/5P2/PPP3PP/RNBQ1RK1 w kq - 1 11,0.0
